Index,Time,Speed [rpm],Setpoint [rpm],Dutty cycle [ms]
103,2019-07-05 11:58:01.971052,1788,1800,1118
104,2019-07-05 11:58:02.165532,1796,1800,1117
105,2019-07-05 11:58:02.353031,1793,1800,1118
106,2019-07-05 11:58:02.571450,1801,1800,1117
107,2019-07-05 11:58:02.810811,1788,1800,1118
108,2019-07-05 11:58:02.991880,1788,1800,1118
109,2019-07-05 11:58:03.173395,1791,1800,1118
110,2019-07-05 11:58:03.356905,1793,1800,1118
111,2019-07-05 11:58:03.547396,1796,1800,1118
112,2019-07-05 11:58:03.771797,1799,1800,1118
113,2019-07-05 11:58:03.960294,1796,1800,1118
114,2019-07-05 11:58:04.138971,1793,1800,1119
115,2019-07-05 11:58:04.331610,1799,1800,1118
116,2019-07-05 11:58:04.520107,1809,1800,1117
117,2019-07-05 11:58:04.693157,1807,1800,1117
118,2019-07-05 11:58:04.918173,1801,1800,1117
119,2019-07-05 11:58:05.103937,1804,1800,1117
120,2019-07-05 11:58:05.283457,1804,1800,1116
121,2019-07-05 11:58:05.467965,1791,1800,1118
122,2019-07-05 11:58:05.652472,1801,1800,1118
123,2019-07-05 11:58:05.855929,1804,1800,1117
124,2019-07-05 11:58:06.042548,1799,1800,1117
125,2019-07-05 11:58:06.255978,1807,1800,1117
126,2019-07-05 11:58:06.453452,1809,1800,1116
127,2019-07-05 11:58:06.671017,1785,1800,1119
128,2019-07-05 11:58:06.877494,1804,1800,1117
129,2019-07-05 11:58:07.095002,1804,1800,1116
130,2019-07-05 11:58:07.313585,1793,1800,1117
131,2019-07-05 11:58:07.521040,1799,1800,1118
132,2019-07-05 11:58:07.756411,1793,1800,1118
133,2019-07-05 11:58:07.962860,1796,1800,1118
134,2019-07-05 11:58:08.167314,1809,1800,1116
135,2019-07-05 11:58:08.406980,1807,1800,1117
136,2019-07-05 11:58:08.610435,1809,1800,1115
137,2019-07-05 11:58:08.811898,1801,1800,1116
138,2019-07-05 11:58:09.013360,1788,1800,1118
139,2019-07-05 11:58:09.250825,1791,1800,1117
140,2019-07-05 11:58:09.473133,1793,1800,1118
141,2019-07-05 11:58:09.676589,1801,1800,1117
142,2019-07-05 11:58:10.278496,1799,1800,1118
143,2019-07-05 11:58:10.489932,1801,1800,1117
144,2019-07-05 11:58:10.700371,1793,1800,1118
145,2019-07-05 11:58:10.908329,1801,1800,1118
146,2019-07-05 11:58:11.116429,1799,1800,1117
147,2019-07-05 11:58:11.306467,1807,1800,1117
148,2019-07-05 11:58:11.493142,1799,1800,1117
149,2019-07-05 11:58:11.695603,1807,1800,1117
150,2019-07-05 11:58:11.908587,1801,1800,1117
151,2019-07-05 11:58:20.353506,1796,1800,1118
152,2019-07-05 11:58:20.560467,1796,1800,1118
153,2019-07-05 11:58:20.770980,1796,1800,1118
154,2019-07-05 11:58:20.981484,1791,1800,1119
155,2019-07-05 11:58:21.195912,1799,1800,1118
156,2019-07-05 11:58:21.406351,1801,1800,1118
157,2019-07-05 11:58:21.620352,1799,1800,1118
158,2019-07-05 11:58:21.833827,1796,1800,1118
159,2019-07-05 11:58:22.068201,1796,1800,1119
160,2019-07-05 11:58:22.324884,1796,1800,1119
161,2019-07-05 11:58:22.547926,1796,1800,1119
162,2019-07-05 11:58:22.772905,1799,1800,1119
163,2019-07-05 11:58:22.988969,1809,1800,1118
164,2019-07-05 11:58:23.201570,1807,1800,1117
